ID,SKU,Tên
7886,55B6T,"Smart Tivi OLED LG 4K 55 inch 55B6T"
7910,55C6T,"Smart Tivi OLED Cong LG 4K 55 inch 55C6T"
7930,55E8PTA,"Smart Tivi OLED LG 4K 55 inch 55E8PTA"
7952,L43S6500,"Android Tivi TCL 43 inch L43S6500"
7973,TH-43ES630V,"Smart Tivi Panasonic 43 inch TH-43ES630V"
7993,TH-43FX600V,"Smart Tivi Panasonic 4K 43 inch TH-43FX600V"
8008,49FX650V,"Android Tivi Panasonic 4K 49 inch 49FX650V"
8030,TH-49FX700V,"Smart Tivi Panasonic 4K 49 inch TH-49FX700V"
8052,QA49Q6FN,"Smart Tivi QLED Samsung 4K 49 inch QA49Q6FN"
8087,QA49Q7F,"Smart Tivi QLED Samsung 4K 49 inch QA49Q7F"
8109,UA32N4300,"Smart Tivi Samsung 32 inch UA32N4300"
8132,UA43MU6400,"Smart Tivi Samsung 4K 43 inch UA43MU6400"
8155,KD-49X9000F,"Android Tivi Sony 4K 49 inch KD-49X9000F"
8188,UA55RU8000,"Smart Tivi Samsung 4K 55 inch UA55RU8000"
8212,QA55Q6FN,"Smart Tivi QLED Samsung 4K 55 inch QA55Q6FN"
